Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,23.967501,24.297501,23.917500,24.107500,22.592829,152074400
2016-05-24,24.305000,24.522499,24.209999,24.475000,22.937243,140560800
2016-05-25,24.667500,24.934999,24.527500,24.905001,23.340221,152675200
2016-05-26,24.920000,25.182501,24.660000,25.102501,23.525312,225324800
2016-05-27,24.860001,25.117500,24.812500,25.087500,23.511253,145364800
2016-05-31,24.900000,25.100000,24.705000,24.965000,23.396452,169228800
2016-06-01,24.754999,24.885000,24.582500,24.615000,23.068445,116693200
2016-06-02,24.400000,24.459999,24.157499,24.430000,22.895067,160766400
2016-06-03,24.447500,24.567499,24.362499,24.480000,22.941923,114019600
2016-06-06,24.497499,25.472500,24.387501,24.657499,23.108265,93170000
2016-06-07,24.812500,24.967501,24.740000,24.757500,23.201986,89638000
2016-06-08,24.754999,24.889999,24.670000,24.735001,23.180901,83392400
2016-06-09,24.625000,24.997499,24.615000,24.912500,23.347248,106405600
2016-06-10,24.632500,24.837500,24.620001,24.707500,23.155132,126851600
2016-06-13,24.672501,24.780001,24.275000,24.334999,22.806034,152082000
2016-06-14,24.330000,24.620001,24.187500,24.365000,22.834148,127727600
2016-06-15,24.455000,24.602501,24.257500,24.285000,22.759176,117780800
2016-06-16,24.112499,24.437500,24.017500,24.387501,22.855236,125307200
2016-06-17,24.155001,24.162500,23.825001,23.832500,22.335106,244032800
2016-06-20,24.000000,24.142500,23.757500,23.775000,22.281219,137647600
2016-06-21,23.735001,24.087500,23.670000,23.977501,22.470993,142185600
2016-06-22,24.062500,24.222500,23.837500,23.887501,22.386652,116876400
2016-06-23,23.985001,24.072500,23.812500,24.025000,22.515512,128960800
2016-06-24,23.227501,23.665001,23.162500,23.350000,21.882919,301245600
2016-06-27,23.250000,23.262501,22.875000,23.010000,21.564281,181958400
2016-06-28,23.225000,23.415001,23.035000,23.397499,21.927433,161779600
2016-06-29,23.492500,23.637501,23.407499,23.600000,22.117212,146124000
2016-06-30,23.610001,23.942499,23.575001,23.900000,22.398365,143345600
2016-07-01,23.872499,24.117500,23.832500,23.972500,22.466309,104106000
2016-07-05,23.847500,23.850000,23.615000,23.747499,22.255449,110820800
2016-07-06,23.650000,23.915001,23.592501,23.882500,22.381962,123796400
2016-07-07,23.924999,24.125000,23.905001,23.985001,22.478022,100558400
2016-07-08,24.122499,24.222500,24.012501,24.170000,22.651403,115648400
2016-07-11,24.187500,24.412500,24.182501,24.245001,22.721693,95179600
2016-07-12,24.292500,24.424999,24.280001,24.355000,22.824778,96670000
2016-07-13,24.352501,24.417500,24.209999,24.217501,22.695921,103568800
2016-07-14,24.347500,24.747499,24.330000,24.697500,23.145760,155676000
2016-07-15,24.730000,24.825001,24.625000,24.695000,23.143417,120548000
2016-07-18,24.674999,25.032499,24.650000,24.957500,23.389420,145975600
2016-07-19,24.889999,25.000000,24.834999,24.967501,23.398790,95119600
2016-07-20,25.000000,25.115000,24.934999,24.990000,23.419882,105104000
2016-07-21,24.957500,25.250000,24.782499,24.857500,23.295704,130808000
2016-07-22,24.815001,24.825001,24.577499,24.665001,23.115305,113254800
2016-07-25,24.562500,24.709999,24.230000,24.334999,22.806034,161531600
2016-07-26,24.205000,24.492500,24.105000,24.167500,22.649059,224959200
2016-07-27,26.067499,26.087500,25.687500,25.737499,24.120413,369379200
2016-07-28,25.707500,26.112499,25.705000,26.084999,24.446079,159479200
2016-07-29,26.047501,26.137501,25.920000,26.052500,24.415627,110934800
2016-08-01,26.102501,26.537500,26.102501,26.512501,24.846720,152671600
2016-08-02,26.512501,26.517500,26.000000,26.120001,24.478882,135266400
2016-08-03,26.202499,26.459999,26.192499,26.447500,24.785803,120810400
2016-08-04,26.395000,26.500000,26.320000,26.467501,24.938921,109634800
2016-08-05,26.567499,26.912500,26.545000,26.870001,25.318172,162213600
2016-08-08,26.879999,27.092501,26.790001,27.092501,25.527824,112148800
2016-08-09,27.057501,27.235001,27.002501,27.202499,25.631472,105260800
2016-08-10,27.177500,27.225000,26.940001,27.000000,25.440668,96034000
2016-08-11,27.129999,27.232500,26.962500,26.982500,25.424177,109938000
2016-08-12,26.945000,27.110001,26.945000,27.045000,25.483068,74641600
2016-08-15,27.035000,27.385000,27.020000,27.370001,25.789301,103472800
2016-08-16,27.407499,27.557501,27.302500,27.344999,25.765745,135177600
2016-08-17,27.275000,27.342501,27.084999,27.305000,25.728050,101424000
2016-08-18,27.307501,27.400000,27.254999,27.270000,25.695076,87938800
2016-08-19,27.192499,27.422501,27.090000,27.340000,25.761034,101472400
2016-08-22,27.215000,27.275000,26.962500,27.127501,25.560801,103280800
